0.0000000000000000000 2.5000000000000000000	-0.0533333333333333333 1.6666666666666666666	-0.1551875438003984116 1.1187754065973589717	-0.3548792993028619577 0.8169688528063373799	-0.5233448708112141207 0.8517143762153628388	-0.4996145081333693331 0.8653819717736637699	-0.5000002972186224585 0.8660258821395599282	-0.5000000000001760137 0.8660254037847024860	|-0.500000000 0.866025404
0.0000000000000000000 2.7500000000000000000	-0.0440771349862258953 1.8333333333333333334	-0.1283865026355831333 1.2269853899670354639	-0.2998606365079128946 0.8633271530802331105	-0.5130651145053083015 0.8229347759285561529	-0.4980654369165679361 0.8668731261828842218	-0.4999986591045206683 0.8660211474647457484	-0.5000000000017261548 0.8660254038042780689	|-0.500000000 0.866025404
0.0000000000000000000 3.0000000000000000000	-0.0370370370370370370 2.0000000000000000000	-0.1079390064544687355 1.3364176372888791161	-0.2549817474347470170 0.9207037144122815018	-0.4831693975438013510 0.8016784046696552601	-0.4998197983779553550 0.8708556921455923176	-0.4999869798709614489 0.8660446506761505326	-0.4999999994654988054 0.8660254037078585923	|-0.500000000 0.866025404
0.0000000000000000000 3.2500000000000000000	-0.0315581854043392505 2.1666666666666666667	-0.0919995320196914002 1.4465120143788701485	-0.2187196785201622408 0.9844425343126254169	-0.4427486609593092866 0.7950902762724297693	-0.5071198130106350948 0.8722107878234110305	-0.5000813892430997481 0.8660586143800616053	-0.5000000074418004876 0.8660254017065949852	-0.4999999999999999988 0.8660254037844385871	|-0.500000000 0.866025404
0.0000000000000000000 3.5000000000000000000	-0.0272108843537414966 2.3333333333333333333	-0.0793401058461752580 1.5569831436699803099	-0.1893294780266375914 1.0519298695400955052	-0.3996916990281631799 0.8030228421752879643	-0.5162332394206740711 0.8658722885719605450	-0.5001303184230891192 0.8657995851028983922	-0.4999999320112132558 0.8660254037901900030	-0.5000000000000023105 0.8660254037844346432	|-0.500000000 0.866025404
0.0000000000000000000 3.7500000000000000000	-0.0237037037037037037 2.5000000000000000000	-0.0691214208654215252 1.6676778428767549495	-0.1653195359295901877 1.1216865701468264472	-0.3584875411493577579 0.8225998374550764104	-0.5208259515777889095 0.8516363109170953478	-0.4996103762292334447 0.8655148981907145354	-0.5000002903878550628 0.8660256971384524864	-0.5000000000001466814 0.8660254037845253327	|-0.500000000 0.866025404
0.0000000000000000000 4.0000000000000000000	-0.0208333333333333333 2.6666666666666666667	-0.0607553066930815452 1.7785101102539954010	-0.1455172356209858424 1.1928564905238520376	-0.3210692020925872646 0.8507293235728607041	-0.5166684248995061990 0.8335139442657723536	-0.4986323335101953324 0.8661045764443926701	-0.5000007423655913389 0.8660236783934852356	-0.4999999999965685262 0.8660254037852586329	|-0.500000000 0.866025404
0.0000000000000000000 4.2500000000000000000	-0.0184544405997693195 2.8333333333333333333	-0.0538201675355386247 1.8894297425394047368	-0.1290252622211018918 1.2649305931433335329	-0.2879523440594659011 0.8849157731245716790	-0.5031738362448342803 0.8164620247636172366	-0.4983396625555330767 0.8680369360260151714	-0.4999935711327547089 0.8660232043605364630	-0.5000000000427374814 0.8660254037669743260	|-0.500000000 0.866025404
0.0000000000000000000 4.5000000000000000000	-0.0164609053497942387 3.0000000000000000000	-0.0480076289022184272 2.0004064176351465170	-0.1151607707495720536 1.3375978747223773281	-0.2589879073310144570 0.9233417364217153392	-0.4822479945835129951 0.8040649083601185000	-0.5000544683078529156 0.8705539749665451313	-0.4999902790004218385 0.8660433425688760025	-0.4999999995843152901 0.8660254038069144881	|-0.500000000 0.866025404
0.0000000000000000000 4.7500000000000000000	-0.0147737765466297322 3.1666666666666666667	-0.0430880111038071662 2.1114212629138203701	-0.1034022637941553815 1.4106633258252188961	-0.2337654498650740764 0.9647370694750058123	-0.4566069867495033043 0.7980057385770818128	-0.5042184398006979695 0.8719673990599643924	-0.5000342912265126188 0.8660652808847344236	-0.5000000021611475056 0.8660254055105724210	-0.5000000000000000073 0.8660254037844386491	|-0.500000000 0.866025404
