4.5000000000000000000 4.5000000000000000000	3.0000000000000000000 2.9917695473251028806	2.0000510147209775195 1.9759437081518345745	1.3338786929568165668 1.2751291412445679461	0.8936587900509820143 0.7522954308834119612	0.6374248167654667961 0.2608312092140828524	0.9260981722000627707 -0.3187321321128894991	0.8912896803121667616 0.0013720358842105163	1.0137954603273450030 -0.0003771696097873198	1.0001867387989770379 -0.0000101258675112184	1.0000000347602419761 -0.0000000037803740859	1.0000000000000011940 -0.0000000000000002628	|1.000000000 -0.000000000
4.5000000000000000000 4.7500000000000000000	2.9995794483811959437 3.1588921448487754630	1.9988114160765561725 2.0883856135189221286	1.3307934011144943420 1.3524067509284872640	0.8857040251995412448 0.8090243110437832999	0.6113884305306039307 0.3086524067616750363	0.8295697200511766852 -0.3660195469872377253	0.8263522479242883933 0.0554596481678273366	1.0324989224207654962 -0.0279630672984397603	1.0003250072182212555 -0.0017303215236652855	0.9999971154754146463 -0.0000011308995002045	1.0000000000070415657 0.0000000000065242505	|1.000000000 0.000000000
4.5000000000000000000 5.0000000000000000000	2.9992267228310084146 3.3260075496270972600	1.9977719044362410402 2.2008081110769541415	1.3282073101890305113 1.4296512321736390279	0.8790406013560463498 0.8658032179365120315	0.5893492327015999944 0.3582644036445951407	0.7154820770898819286 -0.3832346655497797081	0.7573640181958998400 0.1657088788651289847	1.0088137820752982059 -0.1211196438908488055	0.9862463466128643499 -0.0043172503650209360	1.0001729928581244523 0.0001219840622614934	1.0000000150498087700 0.0000000421925632128	0.9999999999999984463 0.0000000000000012700	|1.000000000 0.000000000
4.7500000000000000000 0.0000000000000000000	3.1814404432132963989 0.0000000000000000000	2.1538932845465350065 0.0000000000000000000	1.5077794533410900254 0.0000000000000000000	1.1518096406471877278 0.0000000000000000000	1.0191296059197844709 0.0000000000000000000	1.0003568262363413842 0.0000000000000000000	1.0000001272644127664 0.0000000000000000000	1.0000000000000161962 0.0000000000000000000	|1.000000000 0.000000000
4.7500000000000000000 0.2500000000000000000	3.1813182340791388133 0.1651201123286834956	2.1535493550764591266 0.1066795136198234456	1.5070461689124235340 0.0640337518762123153	1.1506709915867349462 0.0302620244417127229	1.0183462313575134550 0.0069509928663149108	1.0002836115787506062 0.0002463780004343763	1.0000000197718233147 0.0000001396919872552	0.9999999999999808771 0.0000000000000055239	|1.000000000 0.000000000
4.7500000000000000000 0.5000000000000000000	3.1809582786013636080 0.3302908613248264215	2.1525351683859647110 0.2134978858321927460	1.5048758989862941982 0.1283377093567431830	1.1472673336944695290 0.0608146573077631526	1.0159700639817569139 0.0138446630804553829	1.0000698701125969849 0.0004317113381642568	0.9999998185588352326 0.0000000604262530080	1.0000000000000292696 -0.0000000000000219276	|1.000000000 -0.000000000
4.7500000000000000000 0.7500000000000000000	3.1803798392987582177 0.4955588020452885318	2.1509017640135743720 0.3205837146181208140	1.5013557541706162722 0.1931681064372394747	1.1416385056603794465 0.0919546160123453904	1.0119213970352017994 0.0206325766677530938	0.9997341808293924680 0.0004914685236234700	0.9999998288866751105 -0.0000002612639901420	0.9999999999999610209 0.0000000000000894115	|1.000000000 0.000000000
4.7500000000000000000 1.0000000000000000000	3.1796126523557237907 0.6609629280442414989	2.1487285969624142067 0.4280463790455412359	1.4966253979204824991 0.2587538209799184415	1.1338602295642953295 0.1239878579988945811	1.0060627593422201608 0.0272872605165619223	0.9993105445585018544 0.0003531554933487408	1.0000003507228361322 -0.0000004875832840409	0.9999999999998852693 -0.0000000000003420131	|1.000000000 -0.000000000
4.7500000000000000000 1.2500000000000000000	3.1786938351812576624 0.8265322558994872346	2.1461160265658796370 0.5359694503989507975	1.4908686769351887450 0.3252843761966585319	1.1240559992900989887 0.1572270349709656219	0.9981944528278407107 0.0338206412793285565	0.9988533345039316880 -0.0000706128346017195	1.0000013118457821297 0.0000001623102196666	1.0000000000016945918 0.0000000000004258509	|1.000000000 0.000000000
4.7500000000000000000 1.5000000000000000000	3.1776643465791928125 0.9922847045536739653	2.1431764227244300205 0.6444071201951085140	1.4843020521673307013 0.3929003928881582310	1.1124094037242948544 0.1919813748559061289	0.9880541427808889286 0.0403114748558004217	0.9984446907563897945 -0.0008940666209993277	1.0000016196665553539 0.0000027888132327590	0.9999999999948458852 0.0000000000090338947	|1.000000000 0.000000000
4.7500000000000000000 1.7500000000000000000	3.1765655363870711877 1.1582272456870910173	2.1400251132127264399 0.7533837809746993961	1.4771605379702019044 0.4616876458819651853	1.0991727060181038493 0.2285386948747138140	0.9753277296110493357 0.0469422047219794764	0.9982036089962664862 -0.0022797915779773286	0.9999979998482901124 0.0000082043688943192	0.9999999999366884100 -0.0000000000328193599	|1.000000000 -0.000000000
4.7500000000000000000 2.0000000000000000000	3.1754362168396770474 1.3243570934256055364	2.1367722803350378646 0.8628964059584683561	1.4696824488635963321 0.5316756160456763359	1.0846673315309503167 0.2671415903637228037	0.9596808074708755406 0.0540407235251288414	0.9982927887746111223 -0.0044770060715077629	0.9999827408511224053 0.0000152180632109694	1.0000000000662796384 -0.0000000005253150707	|1.000000000 -0.000000000
4.7500000000000000000 2.2500000000000000000	3.1743105178026657931 1.4906635818267439242	2.1335166130825437677 0.9729190091060796751	1.4620946634425443059 0.6028408084040176873	1.0692732295071463420 0.3079622936533952141	0.9408185794245720780 0.0621147327115061050	0.9989118362734257202 -0.0078857417638398021	0.9999387359766295282 0.0000165420342706489	1.0000000034798812062 -0.0000000020271054840	1.0000000000000000080 -0.0000000000000000141	|1.000000000 -0.000000000
4.7500000000000000000 2.5000000000000000000	3.1732166076136789619 1.6571303541767637080	2.1303411221485269468 1.0834082902340058256	1.4546001341854040258 0.6751143036047416281	1.0534068785334069511 0.3510821656461490085	0.9185739409869560856 0.0718586328845054222	1.0002518229686262221 -0.0131527304928187740	0.9998272930112695819 -0.0000096501785532930	1.0000000297413837355 0.0000000033344570602	1.0000000000000008734 0.0000000000000001984	|1.000000000 0.000000000
4.7500000000000000000 2.7500000000000000000	3.1721762136785982794 1.8237375389542191078	2.1273111322612525563 1.1943095861094063216	1.4473689577533698528 0.7483922977798251591	1.0374911367284535357 0.3964813166096966850	0.8930080857898378204 0.0841114544292401613	1.0023684756204600751 -0.0212873890176087911	0.9995570441183728815 -0.0001130636315268770	1.0000001835198008721 0.0000001002512721532	1.0000000000000236292 0.0000000000000367962	|1.000000000 0.000000000
4.7500000000000000000 3.0000000000000000000	3.1712047838447211057 1.9904636800313694736	2.1244741611224099809 1.3055624129821942573	1.4405336131799414879 0.8225479963345877924	1.0219227605736378458 0.4440413429091631532	0.8644914176659986891 0.0997559080008103902	1.0049218919698225341 -0.0337441218156022131	0.9989096405633421184 -0.0003788309138999593	1.0000010464740149057 0.0000008278556606232	1.0000000000004097642 0.0000000000017326560	|1.000000000 0.000000000
4.7500000000000000000 3.2500000000000000000	3.1703120920849649936 2.1572872908508365967	2.1218612175060379752 1.4171051274866066463	1.4341882156155960360 0.8974432463246776702	1.0070440551706987693 0.4935605747499161249	0.8337267686013105784 0.1195731553710251846	1.0067590740385841620 -0.0523490895326339711	0.9973896808166257911 -0.0008823989724595411	1.0000060507485453409 0.0000046299126824000	1.0000000000151756899 0.0000000000560283292	|1.000000000 0.000000000
4.7500000000000000000 3.5000000000000000000	3.1695030980492013405 2.3241879909363124459	2.1194890011259431377 1.5288784810290498999	1.4283910412560761642 0.9729386465815694786	0.9931235846626200985 0.5447780669172248390	0.8016916728843174061 0.1440937376071269783	1.0054231359530548890 -0.0788880572828436226	0.9940010169263269805 -0.0014777384540390056	1.0000340409274131330 0.0000179402903178214	1.0000000008369219511 0.0000000012213327875	0.9999999999999999992 0.0000000000000000021	|1.000000000 0.000000000
4.7500000000000000000 3.7500000000000000000	3.1687789024915840603 2.4911472469102726882	2.1173625330431519263 1.6408280479728065652	1.4231692705617817510 1.0489013972504526546	0.9803480186300551277 0.5974010005730572102	0.7695082512045813109 0.1734945184729985721	0.9968741972572637120 -0.1142096504008514018	0.9870853201051085369 -0.0012601264112016258	1.0001680354228918872 0.0000334045646402539	1.0000000271144632667 0.0000000112225781741	1.0000000000000006092 0.0000000000000006086	|1.000000000 0.000000000
4.7500000000000000000 4.0000000000000000000	3.1681376836910619080 2.6581487776111208886	2.1154778461539399048 1.7529056472349932670	1.4185248689579759737 1.1252106683367834447	0.9688243068364579072 0.6511304574066247641	0.7382801426091919599 0.2075753526413342490	0.9758995660634005236 -0.1569662800649335390	0.9745663482465566324 0.0023388121650761468	1.0006634626122993732 -0.0001252679737451017	1.0000004241430782078 -0.0000001660035269717	1.0000000000001523402 -0.0000000000001408184	|1.000000000 -0.000000000
4.7500000000000000000 4.2500000000000000000	3.1675755424063116372 2.8251786982248520710	2.1138244830349920693 1.8650699500185529436	1.4144406949752588934 1.2017606643072630833	0.9585894440433212968 0.7056821041887951699	0.7089468295869865104 0.2458164577372034197	0.9375879973939061172 -0.2026175061261655027	0.9550009810703884868 0.0145121521414741437	1.0019005333231053685 -0.0014279307940810652	1.0000015793433448629 -0.0000054109397301657	0.9999999999732162364 -0.0000000000170916206	|1.000000000 -0.000000000
4.7500000000000000000 4.5000000000000000000	3.1670872182854707230 2.9922254781821087965	2.1123876569546713960 1.9772864865524692480	1.4108861899002438210 1.2784617963665897987	0.9496244229828315842 0.7608002939261570776	0.6821921168887508216 0.2874882515987551055	0.8795719655404816695 -0.2436705979269623174	0.9294877761288693164 0.0434594528079401162	1.0029631841540561618 -0.0069494152515783265	0.9999610235487977105 -0.0000413828051160598	0.9999999998064391262 0.0000000032260667426	0.9999999999999999896 -0.0000000000000000012	|1.000000000 -0.000000000
4.7500000000000000000 4.7500000000000000000	3.1666666666666666667 3.1592797783933518005	2.1111500176457069298 2.0895272498624822119	1.4078222729600021730 1.3552404602208444401	0.9418693247879792105 0.8162657358838476946	0.6584172623690636037 0.3317744135932957043	0.8038098065879949012 -0.2716660040514170119	0.9039588010155691283 0.0997802884077816157	0.9959523856254596337 -0.0213797502621949880	0.9995522588463221202 0.0001611967351452428	1.0000001745609116683 -0.0000001444725853517	1.0000000000000095992 -0.0000000000000504385	|1.000000000 -0.000000000
4.7500000000000000000 5.0000000000000000000	3.1663075016562457012 3.3263342203097452864	2.1100930229135984059 2.2017700613826883681	1.4052052892625172228 1.4320378978070739150	0.9352373729010621213 0.8718978891967944185	0.6377665414914451414 0.3778763899167230463	0.7165284652773619889 -0.2801009672083052611	0.8915637962405308820 0.1952144606797684759	0.9579243895927344021 -0.0370772062476707380	1.0002466094716184771 0.0033182309941257028	0.9999890611957021024 0.0000016844612181438	1.0000000001168216510 -0.0000000000368527831	|1.000000000 -0.000000000
5.0000000000000000000 0.0000000000000000000	3.3466666666666666666 0.0000000000000000000	2.2608725434693276474 0.0000000000000000000	1.5724602220633037178 0.0000000000000000000	1.1831159767374201166 0.0000000000000000000	1.0268794650317404412 0.0000000000000000000	1.0006974543684584473 0.0000000000000000000	1.0000004859906281112 0.0000000000000000000	1.0000000000002361867 0.0000000000000000000	|1.000000000 0.000000000
5.0000000000000000000 0.2500000000000000000	3.3465670818796732192 0.1653399750830736956	2.2605908581658686590 0.1073000025605600289	1.5718494637512360369 0.0653689768239395185	1.1821155982829566926 0.0323966186515052936	1.0260789616736366309 0.0085427584008854136	1.0005913810598688632 0.0004240351857139134	1.0000001700749174659 0.0000005010415038882	0.9999999999997778831 0.0000000000001704293	|1.000000000 0.000000000
5.0000000000000000000 0.5000000000000000000	3.3462732411855046892 0.3307192105349148776	2.2597589527834592411 0.2147086083480619948	1.5700405125396973344 0.1309557503858884054	1.1791287794556752349 0.0650564567013897840	1.0236561628025252937 0.0170758378587957802	1.0002770427736025841 0.0007770331823389151	0.9999994736130256428 0.0000004309290855871	1.0000000000000913832 -0.0000000000004536713	|1.000000000 -0.000000000
5.0000000000000000000 0.7500000000000000000	3.3457993834725202901 0.4961741022590730567	2.2584150637838076860 0.3223270654705757083	1.5671019887760666804 0.1969671421016828075	1.1742001987525978611 0.0982443124131169556	1.0195469080425200601 0.0256001199343171519	0.9997664641050575623 0.0009832063093778935	0.9999990869593554179 -0.0000004581737473323	1.0000000000006237203 0.0000000000008366639	|1.000000000 0.000000000
5.0000000000000000000 1.0000000000000000000	3.3451676528599605524 0.6617357001972386588	2.2566190450752872296 0.4302427777587881136	1.5631437775912951512 0.2635886193346091014	1.1674096430110689904 0.1322261928242334030	1.0136438463485763433 0.0341395412328219593	0.9990808967502888615 0.0009562281388400929	0.9999999280469911018 -0.0000017598096653692	0.9999999999969082463 0.0000000000002532399	|1.000000000 0.000000000
5.0000000000000000000 1.2500000000000000000	3.3444059976931949250 0.8274279123414071511	2.2544471421465412148 0.5385243993780258212	1.5583104250238082270 0.3309751824060751772	1.1588784630670123633 0.1672653528177665599	1.0057978592024781807 0.0427571340864615135	0.9982523419955522423 0.0005910855111284712	1.0000027096062773914 -0.0000020729953977219	1.0000000000030446763 -0.0000000000112339537	|1.000000000 -0.000000000
5.0000000000000000000 1.5000000000000000000	3.3435457172516342621 0.9932665600538675196	2.2519857276309868525 0.6472189664926861942	1.5527722706194868402 0.3992442586906161425	1.1487756572556089853 0.2036137849168510138	0.9958243173935374275 0.0515753111560128720	0.9973246713539996693 -0.0002483067314050582	1.0000071206796904298 0.0000013357242662304	1.0000000000489194893 0.0000000000190222616	|1.000000000 0.000000000
5.0000000000000000000 1.7500000000000000000	3.3426190015591853877 1.1592592960021693014	2.2493248039145121526 0.7563511950767879583	1.5467149256949840897 0.4684713122985335343	1.1373210318783731174 0.2414992993547115654	0.9835183906069097848 0.0607991727557792572	0.9963521451186809699 -0.0017482907501294675	1.0000102703502554303 0.0000128413914371104	0.9999999999405840902 0.0000000002637685810	|1.000000000 -0.000000000
5.0000000000000000000 2.0000000000000000000	3.3416567578279825605 1.3254062623860483551	2.2465520212766276311 0.8659247583008066474	1.5403280197752579329 0.5386886652623034386	1.1247830141186038040 0.2811097122254798869	0.9686837121685310309 0.0707384810786703575	0.9953903846306425463 -0.0041742740582113519	1.0000036308447150395 0.0000387418858620581	0.9999999985122710516 0.0000000002814070307	1.0000000000000000022 -0.0000000000000000008	|1.000000000 -0.000000000
5.0000000000000000000 2.2500000000000000000	3.3406869207285007700 1.4917012806825696639	2.2437477846912247158 0.9759251117023966180	1.5337943373487830905 0.6098876380579044218	1.1114696183989846883 0.3225769384187401801	0.9511764868224211834 0.0818201631438744626	0.9944702476227589987 -0.0079104028620711454	0.9999668340225165233 0.0000877831962336508	0.9999999933931188869 -0.0000000058223152008	1.0000000000000000098 0.0000000000000000769	|1.000000000 0.000000000
5.0000000000000000000 2.5000000000000000000	3.3397333333333333334 1.6581333333333333333	2.2409817795061246876 1.0863232988261594490	1.5272804534628875437 0.6820236443559058296	1.0977126958750559806 0.3659644400259397636	0.9309617210825481645 0.0945806269570910896	0.9935391927690534304 -0.0135052588092907400	0.9998549794250372980 0.0001733976337410267	0.9999999909508490762 -0.0000000503000831132	0.9999999999999975518 0.0000000000000009103	|1.000000000 0.000000000
5.0000000000000000000 2.7500000000000000000	3.3388151875852702182 1.8246881151582357369	2.2383109950928467217 1.1970801522109486835	1.5209297290427015028 0.7550234544043893405	1.0838474513457244196 0.4112611082292400601	0.9081704578922552627 0.1096286348991737664	0.9923511447185092004 -0.0217047970276498015	0.9995737029238203665 0.0003230216831725376	1.0000000773114425298 -0.0000002755963390041	0.9999999999999300237 -0.0000000000000426135	|1.000000000 -0.000000000
5.0000000000000000000 3.0000000000000000000	3.3379469434832756633 1.9913494809688581314	2.2357791165291457341 1.3081503837406843443	1.5148581130063643864 0.8287935937764374039	1.0701906016616990299 0.4583832597248551881	0.8831401720553270593 0.1275770228480526499	0.9902931003782412462 -0.0334307955795248008	0.9989355757290804259 0.0006096077715447235	1.0000007614012843402 -0.0000013002265941670	0.9999999999988891473 -0.0000000000019799883	|1.000000000 -0.000000000
5.0000000000000000000 3.2500000000000000000	3.3371386094475039715 2.1581006771455899054	2.2334170168854972343 1.4194861962728748141	1.5091527397829180561 0.9032288224058998490	1.0570209247574960312 0.5071844836355983097	0.8564198975386781012 0.1489538628391699253	0.9861676557244626313 -0.0496385890329886747	0.9976007178096865495 0.0012379418469613945	1.0000042277335950205 -0.0000059664030847091	0.9999999999822762668 -0.0000000000504485822	|1.000000000 -0.000000000
5.0000000000000000000 3.5000000000000000000	3.3363962584267975917 2.3249253036650000751	2.2312440226020020160 1.5310402039133306216	1.5038729275781081835 0.9782198164416634683	1.0445652026698080589 0.5574713044312038150	0.8287303298756337075 0.1741150673912537418	0.9780140421434567494 -0.0709857962610205393	0.9950383536759778923 0.0027350169921284739	1.0000171512704425967 -0.0000273839747102838	0.9999999995443287244 -0.0000000009393350686	0.9999999999999999993 0.0000000000000000008	|1.000000000 0.000000000
5.0000000000000000000 3.7500000000000000000	3.3357226666666666666 2.4918079999999999999	2.2292696293004591827 1.6427675885327641964	1.4990529489845450934 1.0536594716199689641	1.0329910687168854955 0.6090216238062691592	0.8008846232426968438 0.2031837550057785191	0.9631296386589099653 -0.0973040324605730202	0.9906107244059840686 0.0062789747724624109	1.0000483363443296720 -0.0001198133827179547	0.9999999879837804650 -0.0000000115838549193	1.0000000000000000102 0.0000000000000002784	|1.000000000 0.000000000
5.0000000000000000000 4.0000000000000000000	3.3351179853261947253 2.6587348800317271466	2.2274953933663958466 1.7546275261504101938	1.4947058757441505148 1.1294475675322075811	1.0224066415054172429 0.6616028667074651427	0.7736901546234505628 0.2360336993831904597	0.9384827654469741888 -0.1270149236805476506	0.9839423702303554929 0.0141146404491607183	1.0000510039523965041 -0.0004641881284587983	0.9999997871746388238 -0.0000000474793531532	1.0000000000000430403 0.0000000000000202096	|1.000000000 0.000000000
5.0000000000000000000 4.2500000000000000000	3.3345803815995781383 2.8256937583689507450	2.2259167930688749527 1.8665839831020489993	1.4908278611749452593 1.2054938041477756412	1.0128655954232375501 0.7149874765795866326	0.7478572956554214664 0.2723186892155568566	0.9015832532530575066 -0.1568172959356653188	0.9757152534056132235 0.0298544213994038470	0.9996275861789995623 -0.0014833358798775438	0.9999979352029876173 0.0000011012932036587	1.0000000000030505417 -0.0000000000045479108	|1.000000000 -0.000000000
5.0000000000000000000 4.5000000000000000000	3.3341066105023249189 2.9926742162937639267	2.2245249237690363903 1.9786060125141172910	1.4874023630031940442 1.2817194078689389722	1.0043757231836444238 0.7689644665988852317	0.7239359109640276785 0.3115349139905864863	0.8515686020814287887 -0.1820191140184398993	0.9688807002069579863 0.0583601887560719707	0.9971684461709800948 -0.0035618903136844536	0.9999952165655041005 0.0000202250299246134	0.9999999996138217295 -0.0000000001934810317	|1.000000000 0.000000000
5.0000000000000000000 4.7500000000000000000	3.3336924983437542988 3.1596675536430786197	2.2233079534680669389 2.0906676854324017351	1.4844039736986754870 1.3580575999929329705	0.9969090462368846738 0.8233467439579581397	0.7022881736820095401 0.3530963029021999368	0.7899560136434398533 -0.1976155382079445282	0.9701272271327253561 0.1049560216426828494	0.9887314442498022684 -0.0049018567750904741	1.0001037740022353606 0.0001128448205783588	0.9999999980388848518 0.0000000234177721971	0.9999999999999994555 -0.0000000000000000918	|1.000000000 -0.000000000
5.0000000000000000000 5.0000000000000000000	3.3333333333333333333 3.3266666666666666666	2.2222523123422218614 2.2027477778980781378	1.4818016772213204546 1.4344532425537584584	0.9904119128940869045 0.8779746490802858863	0.6830942543042673938 0.3964043564517447391	0.7205429103765339061 -0.1997121402182311384	0.9915207317958000234 0.1737927871625932021	0.9703562276308411542 0.0039821360779916225	1.0008969351633374285 -0.0002507140990621239	1.0000007408991199697 -0.0000004489639149796	1.0000000000003473630 -0.0000000000006652731	|1.000000000 -0.000000000
0.0000000000000000000 0.0000000000000000000	|
0.0000000000000000000 0.2500000000000000000	-5.3333333333333333335 0.1666666666666666667	-3.5438710820278934498 0.1118421045673871373	-2.3361185503181135638 0.0762333236571960969	-1.4965285567738574237 0.0548000301412118946	-0.8494468328422450895 0.0474043814445094838	-0.1086295942388507126 0.0828439392877628924	4.6523337686757306160 17.2791148455329541811	3.1006555951084265664 11.5188872291107156096	2.0650777705620760824 7.6780822533909378696	1.3721571003750144894 5.1160765163024538612	0.9044853751549146067 3.4047724911786089068	0.5796724438949696442 2.2565187935164890516	0.3326406122380914895 1.4747475381667622297	0.0900369696893011866 0.9205573167388991053	-0.3222125156156281042 0.5382117373163731495	-0.6149097152186310188 1.1054813903362330027	-0.5198045188592199597 0.9139664307722044701	-0.5006677140829786913 0.8684524083792263314	-0.5000000896716171704 0.8660317188242510895	-0.4999999999810452655 0.8660254038195346401	|-0.500000000 0.866025404
0.0000000000000000000 0.5000000000000000000	-1.3333333333333333334 0.3333333333333333333	-0.7331795463283352556 0.3052672049211841600	-0.1164661549211543020 0.5785691411569420261	-0.9601160976719275734 0.7560013219940152073	-0.5877208962162676699 0.7209837683027666597	-0.4694677761982073091 0.8580009870859033555	-0.5008676263776043561 0.8654767453544898244	-0.4999994025199238383 0.8660245356623337647	-0.5000000000007000642 0.8660254037853008456	|-0.500000000 0.866025404
0.0000000000000000000 0.7500000000000000000	-0.5925925925925925926 0.5000000000000000000	-0.3017525320991836493 0.8799038119749513696	-0.5053218188747806792 0.8230181807829866565	-0.4985804011522027834 0.8673874174829281852	-0.4999967279406812999 0.8660233411781564323	-0.5000000000149156438 0.8660254037855999666	|-0.500000000 0.866025404
0.0000000000000000000 1.0000000000000000000	-0.3333333333333333333 0.6666666666666666667	-0.5822222222222222222 0.9244444444444444445	-0.5087908032893190948 0.8681655118873491218	-0.5000687390673926673 0.8659822186925401653	-0.4999999962890297389 0.8660253983385867971	-0.5000000000000000271 0.8660254037844386807	|-0.500000000 0.866025404
0.0000000000000000000 1.2500000000000000000	-0.2133333333333333333 0.8333333333333333333	-0.5372863142032081626 0.7720142046787585912	-0.4890813055701311971 0.8679934519844507735	-0.5000188469739087331 0.8659031482785304419	-0.4999999887109825637 0.8660254141168054699	-0.4999999999999998083 0.8660254037844385122	|-0.500000000 0.866025404
0.0000000000000000000 1.5000000000000000000	-0.1481481481481481481 1.0000000000000000000	-0.4109297490214265735 0.7612353797876972509	-0.5183602377509591920 0.8798771539042589105	-0.5004974741763180530 0.8661562289240771240	-0.5000002278636401234 0.8660252695401587426	-0.4999999999999639678 0.8660254037843786988	|-0.500000000 0.866025404
0.0000000000000000000 1.7500000000000000000	-0.1088435374149659864 1.1666666666666666666	-0.3111572934299112158 0.8226878400841831121	-0.5304607162435066019 0.8335948845414559252	-0.4982532687719227050 0.8650285614607097642	-0.5000040538853004096 0.8660253576731170501	-0.5000000000078922046 0.8660254037700213842	|-0.500000000 0.866025404
0.0000000000000000000 2.0000000000000000000	-0.0833333333333333333 1.3333333333333333334	-0.2408725172052398808 0.9121443507429669219	-0.4862732937382571260 0.7930032168589012029	-0.4988649501824970832 0.8720012378946713293	-0.4999713387674385745 0.8660484417760787587	-0.4999999990016535270 0.8660254028724281447	-0.5000000000000000016 0.8660254037844386475	|-0.500000000 0.866025404
0.0000000000000000000 2.2500000000000000000	-0.0658436213991769547 1.5000000000000000000	-0.1911902666473006196 1.0129561704860448623	-0.4195650610958485619 0.7896440177200182583	-0.5130337227466550971 0.8719099663346085456	-0.5001978244295119891 0.8659877602954548400	-0.5000000059701374736 0.8660253636784068941	-0.4999999999999987989 0.8660254037844397694	|-0.500000000 0.866025404
0.0000000000000000000 2.5000000000000000000	-0.0533333333333333333 1.6666666666666666666	-0.1551875438003984116 1.1187754065973589717	-0.3548792993028619577 0.8169688528063373799	-0.5233448708112141207 0.8517143762153628388	-0.4996145081333693331 0.8653819717736637699	-0.5000002972186224585 0.8660258821395599282	-0.5000000000001760137 0.8660254037847024860	|-0.500000000 0.866025404
0.0000000000000000000 2.7500000000000000000	-0.0440771349862258953 1.8333333333333333334	-0.1283865026355831333 1.2269853899670354639	-0.2998606365079128946 0.8633271530802331105	-0.5130651145053083015 0.8229347759285561529	-0.4980654369165679361 0.8668731261828842218	-0.4999986591045206683 0.8660211474647457484	-0.5000000000017261548 0.8660254038042780689	|-0.500000000 0.866025404
0.0000000000000000000 3.0000000000000000000	-0.0370370370370370370 2.0000000000000000000	-0.1079390064544687355 1.3364176372888791161	-0.2549817474347470170 0.9207037144122815018	-0.4831693975438013510 0.8016784046696552601	-0.4998197983779553550 0.8708556921455923176	-0.4999869798709614489 0.8660446506761505326	-0.4999999994654988054 0.8660254037078585923	|-0.500000000 0.866025404
0.0000000000000000000 3.2500000000000000000	-0.0315581854043392505 2.1666666666666666667	-0.0919995320196914002 1.4465120143788701485	-0.2187196785201622408 0.9844425343126254169	-0.4427486609593092866 0.7950902762724297693	-0.5071198130106350948 0.8722107878234110305	-0.5000813892430997481 0.8660586143800616053	-0.5000000074418004876 0.8660254017065949852	-0.4999999999999999988 0.8660254037844385871	|-0.500000000 0.866025404
0.0000000000000000000 3.5000000000000000000	-0.0272108843537414966 2.3333333333333333333	-0.0793401058461752580 1.5569831436699803099	-0.1893294780266375914 1.0519298695400955052	-0.3996916990281631799 0.8030228421752879643	-0.5162332394206740711 0.8658722885719605450	-0.5001303184230891192 0.8657995851028983922	-0.4999999320112132558 0.8660254037901900030	-0.5000000000000023105 0.8660254037844346432	|-0.500000000 0.866025404
0.0000000000000000000 3.7500000000000000000	-0.0237037037037037037 2.5000000000000000000	-0.0691214208654215252 1.6676778428767549495	-0.1653195359295901877 1.1216865701468264472	-0.3584875411493577579 0.8225998374550764104	-0.5208259515777889095 0.8516363109170953478	-0.4996103762292334447 0.8655148981907145354	-0.5000002903878550628 0.8660256971384524864	-0.5000000000001466814 0.8660254037845253327	|-0.500000000 0.866025404
0.0000000000000000000 4.0000000000000000000	-0.0208333333333333333 2.6666666666666666667	-0.0607553066930815452 1.7785101102539954010	-0.1455172356209858424 1.1928564905238520376	-0.3210692020925872646 0.8507293235728607041	-0.5166684248995061990 0.8335139442657723536	-0.4986323335101953324 0.8661045764443926701	-0.5000007423655913389 0.8660236783934852356	-0.4999999999965685262 0.8660254037852586329	|-0.500000000 0.866025404
0.0000000000000000000 4.2500000000000000000	-0.0184544405997693195 2.8333333333333333333	-0.0538201675355386247 1.8894297425394047368	-0.1290252622211018918 1.2649305931433335329	-0.2879523440594659011 0.8849157731245716790	-0.5031738362448342803 0.8164620247636172366	-0.4983396625555330767 0.8680369360260151714	-0.4999935711327547089 0.8660232043605364630	-0.5000000000427374814 0.8660254037669743260	|-0.500000000 0.866025404
0.0000000000000000000 4.5000000000000000000	-0.0164609053497942387 3.0000000000000000000	-0.0480076289022184272 2.0004064176351465170	-0.1151607707495720536 1.3375978747223773281	-0.2589879073310144570 0.9233417364217153392	-0.4822479945835129951 0.8040649083601185000	-0.5000544683078529156 0.8705539749665451313	-0.4999902790004218385 0.8660433425688760025	-0.4999999995843152901 0.8660254038069144881	|-0.500000000 0.866025404
0.0000000000000000000 4.7500000000000000000	-0.0147737765466297322 3.1666666666666666667	-0.0430880111038071662 2.1114212629138203701	-0.1034022637941553815 1.4106633258252188961	-0.2337654498650740764 0.9647370694750058123	-0.4566069867495033043 0.7980057385770818128	-0.5042184398006979695 0.8719673990599643924	-0.5000342912265126188 0.8660652808847344236	-0.5000000021611475056 0.8660254055105724210	-0.5000000000000000073 0.8660254037844386491	|-0.500000000 0.866025404
0.0000000000000000000 5.0000000000000000000	-0.0133333333333333333 3.3333333333333333333	-0.0388874489272880287 2.2224622145424065382	-0.0933484361427822078 1.4840016782264135152	-0.2118069666332165668 1.0082266528480462248	-0.4287114521694740039 0.7985265643834246015	-0.5100111547697899194 0.8705820519758288593	-0.5001175255125255195 0.8660034714855282194	-0.5000000022030740185 0.8660253896627384560	-0.4999999999999998488 0.8660254037844387842	|-0.500000000 0.866025404
